the_geom,SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM
POINT (-87.70256625000002 41.74970870300001),2737,79TH STREET,KEDZIE,EB,NS,"79,169",,CHICAGO,79th Street & Kedzie
POINT (-87.73600647 41.916990494000004),15221,ARMITAGE,KOSTNER,EB,FS,73,,CHICAGO,Armitage & Kostner
POINT (-87.766798999 41.949438999999984),11618,CENTRAL,GRACE,NB,NS,85,,CHICAGO,Central & Grace
POINT (-87.642397013 41.86965360300002),6703,TAYLOR,JEFFERSON,EB,NS,157,,CHICAGO,Taylor & Jefferson
POINT (-87.66951300099998 41.881370000000004),431,MADISON,PAULINA,EB,NS,20,N20,CHICAGO,Madison & Paulina
POINT (-87.65122371899997 41.86702954100002),306,ROOSEVELT,MORGAN,EB,NS,12,,CHICAGO,Roosevelt & Morgan
POINT (-87.664133999 41.947014000000024),12538,ADDISON,SOUTHPORT,EB,NS,152,,CHICAGO,Addison & Southport
POINT (-87.74285636000002 41.802055755000026),8126,CICERO,50TH STREET,NB,NS,"47,54B",,CHICAGO,Cicero & 50th Street
POINT (-87.70447500099999 41.827986001),3130,KEDZIE,36TH STREET,NB,NS,52,,CHICAGO,Kedzie & 36th Street
POINT (-87.66736844799999 41.68477517100001),2866,115TH STREET,VINCENNES,WB,NS,111,,CHICAGO,115th Street & Vincennes
POINT (-87.76459825 41.876603649),149,JACKSON,CENTRAL,WB,NS,126,,CHICAGO,Jackson & Central
POINT (-87.66239115500002 41.808697784),8081,47TH STREET,LAFLIN,WB,NS,47,,CHICAGO,47th Street & Laflin
POINT (-87.68824131000002 41.70644028100003),12197,103RD STREET,TALMAN (west leg),WB,NT,103,,CHICAGO,103rd Street & Talman
POINT (-87.64428529999998 41.94011202799999),4996,BELMONT,BROADWAY,WB,NS,"77,151,156",,CHICAGO,Belmont & Broadway
POINT (-87.669601 41.79399699999999),10605,GARFIELD,WOOD,WB,FS,55,N55,CHICAGO,Garfield & Wood
POINT (-87.60617373299999 41.78046531199999),16077,63RD STREET,COTTAGE GROVE,WB,FS,63,N63,CHICAGO,63rd Street & Cottage Grove (Green Line)
POINT (-87.64676847800001 41.85815960399998),6805,18TH STREET(north leg),HALSTED,WB,FS,18,,CHICAGO,18th Street & Halsted
POINT (-87.76264360900001 41.975248771999986),4840,FOSTER,LONG,WB,NS,92,,CHICAGO,Foster & Long
POINT (-87.75626209400002 41.91707096499999),3883,GRAND,LARAMIE,WB,FS,"57,65,73",,CHICAGO,Grand & Laramie
POINT (-87.70925683600001 41.997576794999986),12031,KEDZIE,DEVON,NB,FS,11,,CHICAGO,Kedzie & Devon
POINT (-87.66600390999997 41.83739837899998),4439,ARCHER,ASHLAND,NEB,NS,62,N62,CHICAGO,Archer & Ashland
POINT (-87.72486869300002 41.851748934),9053,PULASKI,CERMAK,SB,NS,53,,CHICAGO,Pulaski & Cermak
POINT (-87.72230991800001 41.75481569499999),12866,PULASKI,76TH STREET,SB,FS,53A,,CHICAGO,Pulaski & 76th Street
POINT (-87.76726546200001 41.970319210000014),9800,HIGGINS,CENTRAL/EDMUNDS,NWB,NS,88,,CHICAGO,Higgins & Central/Edmunds
POINT (-87.632057879 41.801612267999985),6520,WELLS,51ST STREET,SB,FS,24,,CHICAGO,Wells & 51st Street
POINT (-87.78782074499998 41.985939883000015),9943,NORTHWEST HWY,NAGLE,SEB,NS,68,,CHICAGO,Northwest Hwy & Nagle
POINT (-87.683067 41.750001),8630,79TH STREET,WESTERN,EB,NS,169,,CHICAGO,79th Street & Western
POINT (-87.62280721100001 41.79474283600001),10584,GARFIELD,MICHIGAN,WB,FS,55,N55,CHICAGO,Garfield & Michigan
POINT (-87.68682071699999 41.89078532299999),8228,WESTERN,GRAND,SB,NS,"49,X49",N49,CHICAGO,Western & Grand
POINT (-87.711859001 41.90650299999999),11158,HOMAN,HIRSCH,SB,NS,82,,CHICAGO,Homan & Hirsch
POINT (-87.70663099900003 41.895366000000024),3024,KEDZIE,CHICAGO,SB,FS,52,,CHICAGO,Kedzie & Chicago
POINT (-87.585737069 41.73707597800001),7203,STONY ISLAND,87TH STREET,SB,NS,28,,CHICAGO,Stony Island & 87th Street
POINT (-87.668866434 41.98358424600002),1802,CLARK,BRYN MAWR,SB,NS,50,,CHICAGO,Clark & Bryn Mawr
POINT (-87.62404107600003 41.85764577600003),1596,MICHIGAN,18TH STREET,SB,FS,"1,3,4",N4,CHICAGO,Michigan & 18th Street
POINT (-87.61653683999998 41.82376837300001),7734,PERSHING,KING DRIVE,EB,FS,39,,CHICAGO,Pershing & King Drive
POINT (-87.77651841699998 41.77770701999998),3303,63RD STREET,MELVINA,EB,NS,63W,,CHICAGO,63rd Street & Melvina
POINT (-87.67186305400003 41.88132840399999),430,MADISON,WOOD,EB,NS,20,N20,CHICAGO,Madison & Wood
POINT (-87.62212367900003 41.890948389000016),17071,ILLINOIS lower,ST. CLAIR (east leg),EB,NS,"29,65,120,121",,CHICAGO,Illinois (Lower) & St. Clair
POINT (-87.73100620600002 41.90252040799999),15805,DIVISION,KEELER,EB,FS,70,,CHICAGO,Division & Keeler
POINT (-87.67338937599999 41.94685452800002),12534,ADDISON,LINCOLN,EB,FS,152,,CHICAGO,Addison & Lincoln
POINT (-87.61023499999999 41.751157001000024),2783,79TH STREET,ST. LAWRENCE,EB,NS,79,N79,CHICAGO,79th Street & St. Lawrence
POINT (-87.66384994700002 41.779412745),3413,63RD STREET,ASHLAND,EB,FS,63,N63,CHICAGO,63rd Street & Ashland (Green Line)
POINT (-87.682038949 42.00891769200001),12051,LUNT,RIDGE,EB,NS,96,,CHICAGO,Lunt & Ridge
POINT (-87.68640800200001 41.87382333900001),188,HARRISON,WESTERN,EB,NS,7,,CHICAGO,Harrison & Western
POINT (-87.665589748 41.998065121000025),1741,DEVON,GLENWOOD,EB,NS,"36,151,155",,CHICAGO,Devon & Glenwood
POINT (-87.76526377800002 41.89493012600002),663,CHICAGO,CENTRAL,WB,NS,66,,CHICAGO,Chicago & Central
POINT (-87.68439803899997 42.019551897999975),3517,HOWARD,RIDGE,WB,NS,"97,201,206",,EVANSTON,Howard & Ridge
POINT (-87.70533055499999 41.85913506000003),6829,16TH STREET,KEDZIE,WB,NS,18,,CHICAGO,16th Street & Kedzie
POINT (-87.71666649500003 41.91733959499999),4121,ARMITAGE,CENTRAL PARK,WB,NS,73,,CHICAGO,Armitage & Central Park
POINT (-87.73141500000003 41.74944700100002),2692,79TH STREET,KOSTNER,WB,NS,79,,CHICAGO,79th Street & Kostner
POINT (-87.63940099899997 41.879358000000025),12713,ADAMS,CANAL,WB,NS,"1,7,28,121,126,130,151,156",,CHICAGO,Adams & Canal
POINT (-87.71865377900002 41.99030653099999),11498,PETERSON,CENTRAL PARK,WB,NS,84,,CHICAGO,Peterson & Central Park
POINT (-87.702641427 41.89566658799998),638,CHICAGO,SACRAMENTO(west serv.dr.),WB,FS,66,N66,CHICAGO,Chicago & Sacramento
POINT (-87.75465066800001 41.87301839700001),248,HARRISON,LARAMIE,WB,NS,"7,57",,CHICAGO,Harrison & Laramie
POINT (-87.68616097199998 41.852104252000004),15305,CERMAK,WESTERN,WB,FS,21,,CHICAGO,Cermak & Western
POINT (-87.68028044900001 42.019502147000026),3515,HOWARD,CUSTER,WB,NS,"97,201,206",,EVANSTON,Howard & Custer
POINT (-87.670121085 41.82327775300001),6595,PERSHING,WOOD,WB,NS,39,,CHICAGO,Pershing & Wood
POINT (-87.660093184 41.79414586299998),10601,GARFIELD,LOOMIS,WB,FS,55,N55,CHICAGO,Garfield & Loomis
POINT (-87.65014913599998 41.96543657699999),4917,WILSON,CLARENDON,EB,NS,78,,CHICAGO,Wilson & Clarendon
POINT (-87.75061542600002 41.902246327),15463,DIVISION,LAVERGNE,EB,FS,70,,CHICAGO,Division & Lavergne
POINT (-87.669691 41.801203000999976),9169,51ST STREET,WOOD,EB,NS,51,,CHICAGO,51st Street & Wood
POINT (-87.76552391899997 41.89479043199998),515,CHICAGO,CENTRAL,EB,NS,66,,CHICAGO,Chicago & Central
POINT (-87.64897588999997 41.91083785000001),913,NORTH AVENUE,CLYBOURN/HASLTED,EB,FS,"N9,72",N9,CHICAGO,North Ave & Clybourn/Halsted (Red Line)
POINT (-87.69477959599999 41.822709513999996),7802,PERSHING,CALIFORNIA,EB,NS,39,,CHICAGO,Pershing & California
POINT (-87.60022579399998 41.751397236),2628,79TH STREET,ELLIS,WB,NS,79,N79,CHICAGO,79th Street & Ellis
POINT (-87.65993993199999 41.96909402),3781,LAWRENCE,BROADWAY,WB,FS,81,N81,CHICAGO,Lawrence & Broadway
POINT (-87.75136143700001 41.931561663000025),11087,DIVERSEY,LAVERGNE,WB,NS,76,,CHICAGO,Diversey & Lavergne
POINT (-87.70280055400002 41.896863627000016),800,GRAND,SACRAMENTO(west serv.dr.),WB,FS,"52,65",,CHICAGO,Grand & Sacramento
POINT (-87.80083523100001 41.93089308399999),11108,DIVERSEY,SAYRE,WB,NS,76,,CHICAGO,Diversey & Sayre
POINT (-87.72834989799998 41.983052842999996),17323,PULASKI,BRYN MAWR,NB,FS,53,,CHICAGO,Pulaski & Bryn Mawr
POINT (-87.68789067099999 41.93964003100001),17346,WESTERN,BELMONT/CLYBOURN,NB,FS,"49,X49",N49,CHICAGO,Western & Belmont/Clybourn
POINT (-87.61729198400002 41.847657706999996),17397,KING DRIVE,25TH STREET,NB,FT,"3,21",,CHICAGO,King Drive & 25th Street
POINT (-87.70908637399998 41.94666952099999),12579,ADDISON,ELSTON,WB,FS,152,,CHICAGO,Addison & Elston
POINT (-87.72956698299998 41.96099881499998),11396,MONTROSE,ELSTON,WB,NS,78,,CHICAGO,Montrose & Elston
POINT (-87.72749216900002 41.94618759100001),17462,PULASKI,ADDISON,SB,FS,53,N53,CHICAGO,Pulaski & Addison
POINT (-87.63185496699998 41.780100893999986),6535,YALE,63RD STREET,SB,NS,24,,CHICAGO,Yale & 63rd Street
POINT (-87.629753 41.761973001),6545,WENTWORTH,73RD STREET,SB,NS,24,,CHICAGO,Wentworth & 73rd Street
POINT (-87.60966564400002 41.693101024999976),17676,COTTAGE GROVE,111TH STREET,NB,FS,"4,115",,CHICAGO,Cottage Grove & 111th Street
POINT (-87.797903448 42.054878342999984),17677,GOLF ROAD,WAUKEGAN (AVON),WB,MB,X98,,MORTON GROVE,Golf Road & Waukegan (Avon)
POINT (-87.78565251200001 41.93825133500002),17481,BELMONT,NARRAGANSETT,EB,FS,77,N77,CHICAGO,Belmont & Narragansett
POINT (-87.74512281099999 41.88060933700001),496,MADISON,CICERO,WB,NS,20,N20,CHICAGO,Madison & Cicero
POINT (-87.66364782099998 41.93256418499999),11049,DIVERSEY,SOUTHPORT,WB,FS,76,,CHICAGO,Diversey & Southport
POINT (-87.67929644399999 41.97591942899999),8961,DAMEN,FOSTER,NB,NS,50,,CHICAGO,Damen & Foster
POINT (-87.62689904199999 41.84944829900002),15360,STATE,24TH STREET,NB,FS,29,,CHICAGO,State & 24th Street
POINT (-87.75132597700002 41.924085823999974),1304,FULLERTON,LAVERGNE,EB,NS,74,,CHICAGO,Fullerton & Lavergne
POINT (-87.69534677799999 41.84462757099999),6319,26TH STREET,CALIFORNIA AVENUE,EB,NS,60,N60,CHICAGO,26th Street & California Avenue
POINT (-87.62617168600002 41.830952466999975),14953,35TH STREET,STATE,EB,FS,35,,CHICAGO,35th Street & State (Green Line)
POINT (-87.63201200100002 41.800185),6521,WELLS,52ND STREET,SB,NS,24,,CHICAGO,Wells & 52nd Street
POINT (-87.65117585500002 41.83791345899999),7473,31ST STREET,MORGAN,EB,NS,31,,CHICAGO,31st Street & Morgan
POINT (-87.67362649199998 41.764652075000015),15839,DAMEN,71ST STREET,SB,FS,"48,94",,CHICAGO,Damen & 71st Street
POINT (-87.61735022900001 41.82375463699998),7733,PERSHING,KING DRIVE,EB,NS,39,,CHICAGO,Pershing & King Drive
POINT (-87.627568924 41.67791638699998),12459,119TH STREET,WENTWORTH,EB,NS,119,,CHICAGO,119th Street & Wentworth
POINT (-87.667877734 41.910556568000004),902,NORTH AVENUE,ASHLAND,EB,NS,72,,CHICAGO,North Ave & Ashland
POINT (-87.67735639 41.72088921400001),3488,95TH STREET,LEAVITT,EB,NS,95,,CHICAGO,95th Street & Leavitt
POINT (-87.77692805200002 41.96758666400001),9675,LAWRENCE,AUSTIN,EB,FS,"81W,91",,CHICAGO,Lawrence & Austin/Mason
POINT (-87.77225199999998 41.960354000999985),11314,MONTROSE,MENARD,EB,NS,78,,CHICAGO,Montrose & Menard
POINT (-87.64096853900003 41.830750935000026),15413,35TH STREET,WALLACE,EB,FS,35,,CHICAGO,35th Street & Wallace
POINT (-87.67768895900002 41.69174656000001),12402,111TH STREET,BELL,EB,NS,112,,CHICAGO,111th Street & Bell
POINT (-87.68995666199999 42.00865640500001),12073,LUNT,WESTERN,WB,NS,96,,CHICAGO,Lunt & Western
POINT (-87.64115099999998 41.87814000100002),6361,CLINTON,JACKSON,SB,NS,"7,60,126,157",N60,CHICAGO,Clinton & Jackson
POINT (-87.68084430800002 41.86893196699998),14203,OGDEN,TAYLOR,NEB,NS,12,,CHICAGO,Ogden & Taylor
POINT (-87.738211471 41.97548306599998),14806,FOSTER,KOSTNER,WB,FT,92,,CHICAGO,Foster & Kostner
POINT (-87.781481999 41.945659999999975),12489,ADDISON,MELVINA,EB,NS,152,,CHICAGO,Addison & Melvina
POINT (-87.71306099999998 41.96104200000002),11279,KIMBALL,MONTROSE,NB,NS,82,,CHICAGO,Kimball & Montrose
POINT (-87.683963688 41.78628903600003),14578,WESTERN,59TH STREET,SB,FS,"49,X49",N49,CHICAGO,Western & 59th Street
POINT (-87.66659906699999 41.86899322099998),17063,ASHLAND,TAYLOR,SB,FS,"9,X9",N9,CHICAGO,Ashland & Taylor
POINT (-87.63416133499999 41.89171842799999),5020,WELLS,GRAND,SB,NS,"37,125",,CHICAGO,Wells & Grand
POINT (-87.642378157 41.94661853299999),1065,LAKE SHORE,CORNELIA,SB,FS,"135,146,151",,CHICAGO,Lake Shore & Cornelia
POINT (-87.660337147 41.98371405400002),11467,RIDGE,BROADWAY/BRYN MAWR,SEB,NS,84,,CHICAGO,Ridge & Broadway/Bryn Mawr
POINT (-87.68659653200001 41.882192585999974),8233,WESTERN,WARREN,SB,NS,49,N49,CHICAGO,Western & Warren
POINT (-87.61459114600001 41.73634175500001),2256,KING DRIVE,87TH STREET,SB,FS,3,,CHICAGO,King Drive & 87th Street
POINT (-87.72051155399998 41.69850894699999),4695,PULASKI,107TH STREET,NB,NS,53A,,CHICAGO,Pulaski & 107th Street
POINT (-87.70065599899999 41.68964999999997),9965,KEDZIE,112TH STREET(north leg),NB,NS,52A,,CHICAGO,Kedzie & 112th Street
POINT (-87.78654799999998 41.95502499999998),11763,NARRAGANSETT,BELLE PLAINE,NB,NT,86,,CHICAGO,Narragansett & Belle Plaine
POINT (-87.64121211899999 41.92697261500001),17266,CLARK,ARLINGTON (south leg),NB,FS,"22,36",N22,CHICAGO,Clark & Arlington
POINT (-87.62433800000002 41.745317),2281,STATE,82ND STREET,NB,NS,29,,CHICAGO,State & 82nd Street
POINT (-87.585862572 41.76773413199999),7126,STONY ISLAND,70TH STREET,NB,NS,28,,CHICAGO,Stony Island & 70th Street
POINT (-87.62485600000002 41.72266300000001),14011,95TH STREET,RED LINE STATION,NB,TERM,"34,119",,CHICAGO,95th Red Line Station
POINT (-87.65546759699998 41.706859415),12180,103RD STREET,VINCENNES (east RR CROSSING),WB,NS,103,,CHICAGO,103rd Street & Vincennes
POINT (-87.62102781300001 41.721876742999996),2982,95TH STREET,MICHIGAN,WB,FS,"N5,34,95,100,103,106,111,115,119","N5,N34",CHICAGO,95th Street & Michigan
POINT (-87.65148299999998 41.869553999999994),6628,TAYLOR,MORGAN,WB,FS,157,,CHICAGO,Taylor & Morgan
POINT (-87.73823201900001 41.99010086599998),11504,PETERSON,KOSTNER,WB,NS,84,,CHICAGO,Peterson & Kostner
POINT (-87.70307081800001 41.859205428999985),6828,16TH STREET,ALBANY,WB,FS,18,,CHICAGO,16th Street & Albany
POINT (-87.70360856999997 41.800900651000006),9223,51ST STREET,KEDZIE,WB,NS,51,,CHICAGO,51st Street & Kedzie
POINT (-87.696922228 41.895731008999974),14889,CHICAGO,CALIFORNIA,WB,FS,66,N66,CHICAGO,Chicago & California
POINT (-87.64322485399998 41.819004072999974),5148,ROOT,UNION,WB,NS,"43,44",,CHICAGO,Root & Union
POINT (-87.62100200100002 41.873264000999995),4883,BALBO,COLUMBUS,WB,FS,"2,6,10,J14,26,28",,CHICAGO,Balbo & Columbus
POINT (-87.74379130199998 41.93893034400003),9324,BELMONT,KILPATRICK (east leg),WB,NS,77,N77,CHICAGO,Belmont & Kilpatrick
POINT (-87.682612 41.750200000999996),2670,79TH STREET,WESTERN,WB,NS,"79,169",,CHICAGO,79th Street & Western
POINT (-87.757354884 41.953398381),14549,IRVING PARK,LARAMIE,WB,FS,80,,CHICAGO,Irving Park & Laramie
POINT (-87.597422 41.73679499999997),9475,87TH STREET,GREENWOOD,WB,NT,87,,CHICAGO,87th Street & Greenwood
POINT (-87.72756499899998 41.74950999999999),2691,79TH STREET,TRIPP,WB,NT,79,,CHICAGO,79th Street & Tripp
POINT (-87.66958082000002 41.979721412),8622,ASHLAND,BALMORAL,NB,NS,50,,CHICAGO,Ashland & Balmoral
POINT (-87.72104802299998 41.877210504000004),129,JACKSON,HAMLIN,WB,FS,126,,CHICAGO,Jackson & Hamlin
POINT (-87.756753188 41.946016801999974),12599,ADDISON,LARAMIE,WB,NS,152,,CHICAGO,Addison & Laramie
POINT (-87.715061375 41.94659370400001),12581,ADDISON,ST. LOUIS,WB,NS,152,,CHICAGO,Addison & St. Louis
POINT (-87.62419299999999 41.878135000999976),76,MICHIGAN,JACKSON,NB,NS,"3,4,6,J14,26,143",N4,CHICAGO,Michigan & Jackson
POINT (-87.746597076 41.93510673700001),10323,CICERO,WELLINGTON,NB,NS,54,,CHICAGO,Cicero & Wellington
POINT (-87.69332656099999 41.77927613700001),14854,CALIFORNIA,63RD STREET,NB,FS,94,,CHICAGO,California & 63rd Street
POINT (-87.66321660400001 41.746924751999984),15456,ASHLAND,81ST STREET,NB,FS,9,N9,CHICAGO,Ashland & 81st Street
POINT (-87.683206584 41.76822045099999),8317,WESTERN,69TH STREET,NB,NS,"49,67,94,X49",N49,CHICAGO,Western & 69th Street
POINT (-87.69434508500001 41.81730927900003),4169,CALIFORNIA,42ND STREET,NB,NS,94,,CHICAGO,California & 42nd Street
POINT (-87.65479407499998 41.79446755599997),5075,RACINE,GARFIELD,NB,FS,44,,CHICAGO,Racine & Garfield
POINT (-87.60569198600001 41.77487271899997),2491,COTTAGE GROVE,MARQUETTE RD,NB,NS,4,,CHICAGO,Cottage Grove & Marquette Rd
POINT (-87.745340999 41.884361001),10295,CICERO,MAYPOLE,NB,NS,54,,CHICAGO,Cicero & Maypole
POINT (-87.55308000000002 41.75185299999998),2811,79TH STREET,EXCHANGE (south leg),EB,NS,79,N79,CHICAGO,79th Street & Exchange
POINT (-87.611437465 41.707288108),12219,103RD STREET,EBERHART,EB,NS,106,,CHICAGO,103rd Street & Eberhart
POINT (-87.63445710100001 41.750709452000024),2769,79TH STREET,VINCENNES,EB,NS,"8A,79",N79,CHICAGO,79th Street & Vincennes
POINT (-87.647777147 41.89111519400001),738,GRAND,HALSTED/MILWAUKEE,EB,NS,65,,CHICAGO,Grand & Halsted/Milwaukee (Blue Line)
POINT (-87.66726668299998 41.899870598999996),14536,ASHLAND,AUGUSTA,NB,FS,9,N9,CHICAGO,Ashland & Augusta
POINT (-87.69537029999998 41.85209741699998),14606,CALIFORNIA,CERMAK,NB,FS,94,,CHICAGO,California & Cermak
POINT (-87.63703088400001 41.92007542900001),1908,CLARK,DICKENS,NB,NS,"22,36",N22,CHICAGO,Clark & Dickens
POINT (-87.587629838 41.79532476600002),7179,LAKE PARK,55TH STREET,SB,NS,"15,28",,CHICAGO,Lake Park & 55th Street
POINT (-87.657691865 41.84166496),4443,ARCHER,LOOMIS/FULLER,NEB,NS,62,N62,CHICAGO,Archer & Loomis/Fuller
POINT (-87.675655286 41.848831666000024),8753,DAMEN,BLUE ISLAND,NB,FS,50,,CHICAGO,Damen & Blue Island
POINT (-87.63616100000002 41.925476),1081,STOCKTON,FULLERTON,SB,FS,"151,156",,CHICAGO,Stockton & Fullerton
POINT (-87.755152527 41.880580821000024),3844,LARAMIE,MADISON,SB,NS,57,,CHICAGO,Laramie & Madison
POINT (-87.58646976699998 41.77707496599999),5203,STONY ISLAND,65TH STREET,SB,NS,"6,15,28",,CHICAGO,Stony Island & 65th Street
POINT (-87.639359001 41.93675700099999),1151,SHERIDAN,WELLINGTON,NB,FS,"77,134,143,151,156",,CHICAGO,Sheridan & Wellington
POINT (-87.61675719499999 41.82041816200001),2161,KING DRIVE,41ST STREET,NB,FS,3,,CHICAGO,King Drive & 41st Street
POINT (-87.69023418199998 42.00513842800001),1700,WESTERN,PRATT,SB,NS,49B,,CHICAGO,Western & Pratt
POINT (-87.70260100000002 41.75354500100002),10020,KEDZIE,77TH STREET,SB,NS,52A,,CHICAGO,Kedzie & 77th Street
POINT (-87.65473300000002 41.96718199999998),1178,SHERIDAN,LELAND,NB,NS,151,,CHICAGO,Sheridan & Leland
POINT (-87.63951870699998 41.92380936799998),1839,CLARK,BELDEN,SB,NS,"22,36",N22,CHICAGO,Clark & Belden
POINT (-87.72836178199998 41.800832539),4408,ARCHER,KEELER,NEB,NS,62,N62,CHICAGO,Archer & Keeler
POINT (-87.61503501700003 41.75859759000002),2125,KING DRIVE,75TH STREET,NB,FS,3,,CHICAGO,King Drive & 75th Street
POINT (-87.57527486800001 41.722349049),5284,JEFFERY,95TH STREET,NB,NS,"J14,15",,CHICAGO,Jeffery & 95th Street
POINT (-87.72764253700001 41.95083427700001),8995,PULASKI,AVONDALE,SB,FS,53,N53,CHICAGO,Pulaski & Avondale
POINT (-87.63812875299999 41.921858250000014),1909,CLARK,WEBSTER,NB,NS,"22,36",N22,CHICAGO,Clark & Webster
POINT (-87.60128796700002 41.78052619099998),15488,63RD STREET,ELLIS (west leg),WB,FS,63,N63,CHICAGO,63rd Street & Ellis
POINT (-87.69680685499998 41.90559277099999),3181,CALIFORNIA,EVERGREEN,NB,NS,94,,CHICAGO,California & Evergreen
POINT (-87.80660900100003 41.936282000999995),11802,HARLEM,BARRY,NB,NS,90,,CHICAGO,Harlem & Barry
POINT (-87.61492821299998 41.756674325999995),2124,KING DRIVE,76TH STREET,NB,FS,3,,CHICAGO,King Drive & 76th Street
POINT (-87.78760613200001 41.98620338699999),16034,NAGLE,NORTHWEST HWY,NB,FS,86,,CHICAGO,Nagle & Northwest Hwy
POINT (-87.62986881699999 41.77258351400002),6450,WENTWORTH,MARQUETTE RD,NB,NS,24,,CHICAGO,Wentworth & Marquette Rd
POINT (-87.615038943 41.750920812000004),17363,KING DRIVE,79TH STREET,SB,FS,3,,CHICAGO,King Drive & 79th Street
POINT (-87.687638359 41.93938755400001),17342,BELMONT,WESTERN/CLYBOURN,EB,FS,77,N77,CHICAGO,Belmont & Western/Clybourn
POINT (-87.64715229400002 41.94701409200002),14451,BROADWAY,ADDISON,SB,FS,36,,CHICAGO,Broadway & Addison
POINT (-87.705606327 41.85763838999998),6673,OGDEN,KEDZIE,NEB,NS,157,,CHICAGO,Ogden & Kedzie
POINT (-87.760101072 41.79283160599999),17111,55TH STREET,LINDER,WB,FS,"55A,55N",,CHICAGO,55th Street & Linder
POINT (-87.67918033000001 41.89086794100001),789,GRAND,HOYNE,WB,NS,65,,CHICAGO,Grand & Hoyne
POINT (-87.75701269899997 41.86581473899997),379,ROOSEVELT,5300 WEST,WB,MB,12,,CHICAGO,5300 W Roosevelt
POINT (-87.75164916900002 42.026351772),3549,OAKTON,NILES AVENUE,WB,NS,97,,SKOKIE,Oakton & Niles Avenue
POINT (-87.62666395399998 41.867551615000025),16140,ROOSEVELT,GREEN/ORANGE/RED LINE,WB,MB,"12,18,130,146,192",,CHICAGO,Roosevelt Orange/Red/Green Line Station
POINT (-87.68312047 41.85213485999998),6869,CERMAK,OAKLEY,WB,NS,21,,CHICAGO,Cermak & Oakley
POINT (-87.60267809800001 41.78415566199999),13031,61ST STREET,INGLESIDE,WB,NS,59,,CHICAGO,61st Street & Ingleside
POINT (-87.61153845899997 41.816789529999994),8000,43RD STREET,ST. LAWRENCE,WB,NS,43,,CHICAGO,43rd Street & St. Lawrence
POINT (-87.787629675 41.984774189999996),9704,NAGLE,AVONDALE/SOMERSET,NB,NS,86,,CHICAGO,Nagle & Avondale/Somerset
POINT (-87.67797141699998 41.931845572999976),8938,DAMEN,CLYBOURN/DIVERSEY,NB,NS,50,,CHICAGO,Damen & Clybourn/Diversey
POINT (-87.57621992100002 41.76634818100001),5307,JEFFERY,71ST STREET,NB,FS,"N5,J14,15",N5,CHICAGO,Jeffery & 71st Street
POINT (-87.64364030600001 41.739936134999994),15235,HALSTED,SUMMIT,NB,FT,8A,,CHICAGO,Halsted & Summit
POINT (-87.75104079200003 41.89505681600002),15485,CHICAGO,LAVERGNE,WB,FS,66,,CHICAGO,Chicago & Lavergne
POINT (-87.73546128800001 41.946303375000014),12590,ADDISON,MILWAUKEE,WB,NS,152,,CHICAGO,Addison & Milwaukee
POINT (-87.66519260400003 41.99820753199998),1760,DEVON,GLENWOOD,WB,NS,"36,151,155",,CHICAGO,Devon & Glenwood
POINT (-87.670619353 41.830507522999994),15936,35TH STREET,WOOD,WB,FS,35,,CHICAGO,35th Street & Wood
POINT (-87.73128186500003 41.807839559),15943,47TH STREET,KILDARE (west leg),WB,FS,47,,CHICAGO,47th Street & Kildare
POINT (-87.699860914 41.997619164000014),17199,DEVON,CALIFORNIA,WB,FS,155,,CHICAGO,Devon & California
POINT (-87.674547007 41.874141501999986),107,HARRISON,OGDEN,WB,NS,"7,126",,CHICAGO,Harrison & Ogden
POINT (-87.674598866 41.99084968),11480,PETERSON,RAVENSWOOD (east leg),WB,NT,84,,CHICAGO,Peterson & Ravenswood
POINT (-87.607965385 41.82622646499999),15866,COTTAGE GROVE,38TH STREET,NB,FS,4,N4,CHICAGO,Cottage Grove & 38th Street
POINT (-87.767104001 41.95856500000002),11624,CENTRAL,CULLOM,NB,NS,85,,CHICAGO,Central & Cullom
